query,original_query,concepts
Orchids of Myanmar excluding Flora of China,<mark>Orchids of Myanmar</mark> that are not <mark>Flora of China</mark>,"[""Orchids of Myanmar"", ""Flora of China""]"
"German spy comedies,American spy comedy-dramas, or 2000s mystery comedy-drama films",<mark>German spy comedy films</mark> or <mark>American spy comedy-drama films</mark> or <mark>2000s mystery comedy-drama films</mark>,"[""German spy comedy films"", ""American spy comedy-drama films"", ""2000s mystery comedy-drama films""]"
Moths of Mauritius that are not of Asia,<mark>Moths of Mauritius</mark> that are not <mark>Moths of Asia</mark>,"[""Moths of Mauritius"", ""Moths of the Mascarene Islands"", ""Moths of the Indian Ocean islands"", ""Moths of Asia""]"
Books about apartheid excluding Books about war,<mark>Books about apartheid</mark> that are not <mark>Books about war</mark>,"[""Books about apartheid"", ""Books about war"", ""Novels set in apartheid-era South Africa"", ""Anti-apartheid movement books""]"
non american children's historical fiction books,<mark>Children's fiction books</mark> that are also <mark>History books</mark> but not <mark>American children's books</mark>,"[""Children's historical fiction books"", ""United States children's historical fiction books"", ""Children's historical fiction set in the United States"", ""European children's historical fiction books"", ""Asian children's historical fiction books""]"
Vertebrates from Rwanda that are critically endangered,<mark>Critically endangered animals</mark> that are also <mark>Vertebrates of Rwanda</mark>,"[""Vertebrates of Rwanda"", ""IUCN Red List Critically Endangered species""]"
Birds found in Saint Kitts and Nevis or Montserrat,<mark>Birds of Saint Kitts and Nevis</mark> or <mark>Birds of Montserrat</mark>,"[""Birds of Saint Kitts and Nevis"", ""Birds of Montserrat"", ""Birds of the Leeward Islands""]"
1910's non American crime drama films,<mark>1910s crime drama films</mark> that are not <mark>American crime films</mark>,"[""Crime drama films"", ""1910s films"", ""American films"", ""Silent films""]"
Films that are about friendship and crickets on earth.,<mark>Earth in film</mark> that are also both <mark>Films about friendship</mark> and <mark>Cricket films</mark>,"[""Friendship-themed films"", ""Films about crickets (insects)"", ""Films set on Earth""]"
Fauna of Mauritius that are Fauna of East Africa and Birds of Oceania,<mark>Fauna of Mauritius</mark> that are also both <mark>Fauna of East Africa</mark> and <mark>Birds of Oceania</mark>,"[""Fauna of Mauritius"", ""Fauna of East Africa"", ""Birds of Oceania""]"
"find me, Cisuralian animals, Paleozoic insects of Asia, or Carboniferous animals of Asia.",<mark>Cisuralian animals</mark> or <mark>Paleozoic insects of Asia</mark> or <mark>Carboniferous animals of Asia</mark>,"[""Cisuralian animals"", ""Paleozoic insects of Asia"", ""Carboniferous animals of Asia""]"
1947 Science Linguistics books,<mark>Science books</mark> that are also both <mark>Linguistics books</mark> and <mark>1947 books</mark>,"[""Science books"", ""Linguistics books"", ""Scholarly books""]"
2007 American novels set in Europe,<mark>2007 American novels</mark> that are also <mark>Novels set in Europe</mark>,"[""American novels"", ""Novels set in Europe"", ""2000s novels""]"
American fantasy films set in Europe and shot in Italy.,<mark>Films shot in Italy</mark> that are also both <mark>American fantasy films</mark> and <mark>Films set in Europe</mark>,"[""American films"", ""Fantasy films"", ""Films set in Europe"", ""Films shot in Italy""]"
Action adventure or historical adventure films from Turkey or historical fantasy films from the 1970s,<mark>Turkish action adventure films</mark> or <mark>1970s historical fantasy films</mark> or <mark>Turkish historical adventure films</mark>,"[""Action adventure films"", ""Historical adventure films"", ""Films from Turkey"", ""Historical fantasy films"", ""1970s films""]"
Films shot in Oregon that are based on sci-fi works,<mark>Films based on science fiction works</mark> that are also <mark>Films shot in Oregon</mark>,"[""Films shot in Oregon"", ""Science fiction film adaptations""]"
Suriname trees,<mark>Trees of Suriname</mark>,"[""Trees of Suriname"", ""Native trees of Suriname"", ""Mangrove trees of Suriname"", ""Savanna trees of Suriname"", ""Guiana Shield tropical rainforest trees""]"
Speculative fiction novels in Spanish from the 2000s,<mark>2000s speculative fiction novels</mark> that are also <mark>Spanish-language novels</mark>,"[""Speculative fiction novels"", ""Spanish-language novels"", ""2000s novels""]"
Cave beetles or animals of Slovenia,<mark>Cave beetles</mark> or <mark>Fauna of Slovenia</mark>,"[""Cave beetles"", ""Fauna of Slovenia"", ""Endemic animals of Slovenia"", ""Invertebrates of Slovenia""]"
1982 fiction novels that are set in England,<mark>1982 fiction books</mark> that are also <mark>Novels set in England</mark>,"[""1982 novels"", ""Fiction novels"", ""Novels set in England""]"
1980's police buddy thriller comedy films,<mark>1980s buddy comedy films</mark> that are also both <mark>Thriller films</mark> and <mark>1980s police films</mark>,"[""1980s films"", ""Buddy cop films"", ""Comedy thriller films"", ""Police comedy films""]"
Lepidoptera from Papua New Guinea,<mark>Lepidoptera of Papua New Guinea</mark>,"[""Lepidoptera of Papua New Guinea"", ""Butterflies of Papua New Guinea"", ""Moths of Papua New Guinea"", ""Lepidoptera of New Guinea"", ""Endemic Lepidoptera of Papua New Guinea""]"
Non-social-psychological books about Africa and the Cold War,<mark>Books about Africa</mark> that are also <mark>Books about the Cold War</mark> but not <mark>Books about social psychology</mark>,"[""Cold War history books"", ""African studies books"", ""International relations books on Africa"", ""Social psychology books""]"
Fish of Bolivia but not of Brazil,<mark>Fish of Bolivia</mark> that are not <mark>Fish of Brazil</mark>,"[""Fish of Bolivia"", ""Endemic fish of Bolivia"", ""Fish of Brazil""]"
Flora of Central America and Tamaulipas that are Nearctic realm flora,<mark>Flora of Central America</mark> that are also both <mark>Nearctic realm flora</mark> and <mark>Flora of Tamaulipas</mark>,"[""Flora of Central America"", ""Flora of Tamaulipas"", ""Nearctic realm flora""]"
Novels about alien visitations but not disasters,<mark>Novels about alien visitations</mark> that are not <mark>Novels about disasters</mark>,"[""First contact science fiction novels"", ""Novels about extraterrestrial visitors on Earth"", ""Disaster novels""]"
Gothic novels set in Europe but not on islands,<mark>Novels set in Europe</mark> that are also <mark>Gothic novels</mark> but not <mark>Novels set on islands</mark>,"[""Gothic novels"", ""Novels set in Europe"", ""Novels set on islands""]"
Non-Palearctic birds of Mongolia,<mark>Birds of Mongolia</mark> that are not <mark>Palearctic fauna</mark>,"[""Birds of Mongolia"", ""Palearctic birds"", ""Nearctic birds"", ""Indomalayan birds""]"
Robin birds,<mark>Robins</mark>,"[""European robin (Erithacus rubecula)"", ""American robin (Turdus migratorius)"", ""Australasian robins (Petroicidae)"", ""Robin-chats (Cossypha)"", ""Magpie-robins (Copsychus)""]"
Mammals of Tonga or New Caledonia or Rodents of Pakistan,<mark>Mammals of New Caledonia</mark> or <mark>Rodents of Pakistan</mark> or <mark>Mammals of Tonga</mark>,"[""Mammals of Tonga"", ""Mammals of New Caledonia"", ""Rodents of Pakistan""]"
American adventure Crime films set in 1944,<mark>Crime films</mark> that are also both <mark>American adventure films</mark> and <mark>Films set in 1944</mark>,"[""American films"", ""Adventure films"", ""Crime films"", ""Films set during World War II""]"
Battle of the Somme films,<mark>Films about the Battle of the Somme</mark>,"[""Films about the Battle of the Somme"", ""World War I films"", ""Films set on the Western Front (World War I)"", ""War documentary films""]"
Films based on crime novels and organised crime in India,<mark>Films based on crime novels</mark> that are also <mark>Films about organised crime in India</mark>,"[""Films based on crime novels"", ""Films about organized crime in India""]"
Novels by Jean Giono or 1951 French novels,<mark>1951 French novels</mark> or <mark>Novels by Jean Giono</mark>,"[""Novels by Jean Giono"", ""French novels"", ""1950s novels""]"
Uncle Vanya films,<mark>Films based on Uncle Vanya</mark>,"[""Films based on Uncle Vanya"", ""Film adaptations of Anton Chekhov plays"", ""Films based on Russian plays"", ""Period drama films set in rural Russia""]"
Trees of South Africa that are also in the south-central Pacific,<mark>Flora of the south-central Pacific</mark> that are also <mark>Trees of South Africa</mark>,"[""Trees of South Africa"", ""Trees of the South-Central Pacific"", ""Trees of Polynesia""]"
what are Meropidae or Birds described in 1793?,<mark>Meropidae</mark> or <mark>Birds described in 1793</mark>,"[""Meropidae"", ""Birds described in 1793""]"
Mammals that are also Cetaceans excluding Miocene mammals,<mark>Mammals</mark> that are also <mark>Cetaceans</mark> but not <mark>Miocene mammals</mark>,"[""Mammals"", ""Cetaceans"", ""Miocene mammals""]"
Non-American Children's films shot in Oceania,<mark>Children's films</mark> that are also <mark>Films shot in Oceania</mark> but not <mark>American children's films</mark>,"[""Children's films"", ""Films shot in Oceania"", ""American films""]"
1981 British fiction children's novels,<mark>Fiction books</mark> that are also both <mark>British children's books</mark> and <mark>1981 novels</mark>,"[""British children's novels"", ""1980s novels"", ""Children's fiction"", ""English-language children's novels""]"
2012 non-fiction Mathematics books,<mark>Mathematics books</mark> that are also <mark>2012 non-fiction books</mark>,"[""Books published in 2012"", ""Non-fiction books"", ""Mathematics books""]"
"Invertebrates found in Malaysia, Vietnam, and Northeast Asia",<mark>Invertebrates of Malaysia</mark> that are also both <mark>Invertebrates of Vietnam</mark> and <mark>Fauna of Northeast Asia</mark>,"[""Invertebrates of Malaysia"", ""Invertebrates of Vietnam"", ""Invertebrates of Northeast Asia"", ""Marine invertebrates"", ""Terrestrial invertebrates""]"
Spy novels about North America and the military,<mark>Books about North America</mark> that are also both <mark>Novels about the military</mark> and <mark>Spy novels</mark>,"[""Spy novels"", ""Military novels"", ""Novels set in North America"", ""Military intelligence in fiction""]"
Flora of the Southern United States and Eastern Canada but not Ontario,<mark>Flora of Eastern Canada</mark> that are also <mark>Flora of the Southern United States</mark> but not <mark>Flora of Ontario</mark>,"[""Flora of the Southern United States"", ""Flora of Eastern Canada"", ""Flora of Ontario""]"
Films set in 1853 or 1857,<mark>Films set in 1853</mark> or <mark>Films set in 1857</mark>,"[""Films set in 1853"", ""Films set in 1857""]"
Pliocene reptiles of North America or Atlantic auks or Sulidae,<mark>Atlantic auks</mark> or <mark>Pliocene reptiles of North America</mark> or <mark>Sulidae</mark>,"[""Pliocene reptiles"", ""Fossils of North America"", ""Auks of the Atlantic Ocean"", ""Sulidae""]"
1912 films set in England,<mark>Films set in England</mark> that are also <mark>1912 films</mark>,"[""1912 films"", ""Films set in England"", ""Silent films"", ""British films""]"
what are 1990s Western comedy films,<mark>1990s Western (genre) comedy films</mark>,"[""Western films"", ""Comedy films"", ""1990s films""]"
what is Tropical fruit that is also Cacti of North America,<mark>Tropical fruit</mark> that are also <mark>Cacti of North America</mark>,"[""Tropical fruits"", ""Edible cactus fruits"", ""Cacti of North America"", ""Mesoamerican fruit crops""]"
what are  Invertebrates of North America that are also both Fauna of islands in the Atlantic Ocean and Marine fauna of Africa?,<mark>Invertebrates of North America</mark> that are also both <mark>Fauna of islands of the Atlantic Ocean</mark> and <mark>Marine fauna of Africa</mark>,"[""Invertebrates of North America"", ""Fauna of Atlantic Ocean islands"", ""Marine fauna of Africa"", ""Marine invertebrates""]"
books from 1702,<mark>1702 books</mark>,"[""Books"", ""Early 18th-century books""]"
1990s mystery thriller films excluding American thriller films,<mark>1990s mystery thriller films</mark> that are not <mark>American thriller films</mark>,"[""Mystery thriller films"", ""1990s films"", ""American thriller films""]"
Invertebrates of Asia that are also Endemic fauna of Japan excluding Moths of Asia,<mark>Invertebrates of Asia</mark> that are also <mark>Endemic fauna of Japan</mark> but not <mark>Moths of Asia</mark>,"[""Invertebrates of Asia"", ""Endemic fauna of Japan"", ""Moths of Asia""]"
Books about Georg Wilhelm Friedrich Hegel or Books by Judith Butler,<mark>Books by Judith Butler</mark> or <mark>Books about Georg Wilhelm Friedrich Hegel</mark>,"[""Books about Georg Wilhelm Friedrich Hegel"", ""Books by Judith Butler""]"
Children's and Political novels set on islands,<mark>Novels set on islands</mark> that are also both <mark>Children's novels</mark> and <mark>Political novels</mark>,"[""Children's novels"", ""Political novels"", ""Novels set on islands""]"
Films shot in Santa Monica California,<mark>Films set in Santa Monica California</mark>,"[""Films shot in Santa Monica, California"", ""Films shot in Los Angeles County, California"", ""Films shot in Southern California"", ""Films shot on location in California""]"
Biographical or historical Dutch drama films,<mark>Dutch historical drama films</mark> or <mark>Dutch biographical drama films</mark>,"[""Dutch drama films"", ""Biographical films"", ""Historical films""]"
Novels set in Vietnam but not about disasters,<mark>Novels set in Vietnam</mark> that are not <mark>Novels about disasters</mark>,"[""Novels"", ""Works set in Vietnam"", ""Disaster fiction""]"
Books in English published by Constable & Robinson that are not about Europe,<mark>English-language books</mark> that are also <mark>Constable & Robinson books</mark> but not <mark>Books about Europe</mark>,"[""Books published by Constable & Robinson"", ""English-language books"", ""Books about Europe""]"
Films set in 2007 that are about Presidents,<mark>Films set in 2007</mark> that are also <mark>Films about presidents</mark>,"[""Films set in 2007"", ""Films about presidents"", ""Political drama films"", ""Biographical films about heads of state""]"
Flora of Alabama and New Mexico,<mark>Flora of Alabama</mark> that are also <mark>Flora of New Mexico</mark>,"[""Flora of Alabama"", ""Flora of New Mexico"", ""Flora of the Southeastern United States"", ""Flora of the Southwestern United States""]"
Endemic plant life of Gabon or monotypic magnoliids,<mark>Endemic flora of Gabon</mark> or <mark>Monotypic magnoliid genera</mark>,"[""Endemic flora of Gabon"", ""Monotypic genera of magnoliids"", ""Monotypic families of magnoliids""]"
what are Marine fauna of North Africa that are not Palearctic fauna,<mark>Marine fauna of North Africa</mark> that are not <mark>Palearctic fauna</mark>,"[""Marine fauna of North Africa"", ""Mediterranean Sea marine fauna"", ""Atlantic coast of North Africa marine fauna"", ""Red Sea marine fauna"", ""Palearctic fauna""]"
2007 non Indian Indigenous drama films,<mark>Indigenous films</mark> that are also <mark>2007 drama films</mark> but not <mark>Indian drama films</mark>,"[""2007 films"", ""Drama films"", ""Indigenous films"", ""Indian films""]"
Non folklore Italian supernatural horror films,<mark>Italian supernatural horror films</mark> that are not <mark>Films based on folklore</mark>,"[""Italian horror films"", ""Supernatural horror films"", ""Italian-language films"", ""Folklore horror films""]"
Books from 1552 or 1559,<mark>1559 books</mark> or <mark>1552 books</mark>,"[""Books published in 1552"", ""Books published in 1559"", ""16th-century books""]"
2013 films about Catholic nuns,<mark>Films about Catholic nuns</mark> that are also <mark>2013 films</mark>,"[""2010s films"", ""Films about Catholic nuns"", ""Films about the Catholic Church"", ""Films set in convents"", ""Religious drama films""]"
Orders of Green Algae,<mark>Green algae orders</mark>,"[""Green algal orders"", ""Orders of Chlorophyta"", ""Orders of Charophyte algae"", ""Marine green algal orders"", ""Freshwater green algal orders""]"
Military books in Latin,<mark>Latin military books</mark>,"[""Latin-language books"", ""Military books"", ""Military treatises"", ""Works on military strategy"", ""Classical Latin literature""]"
Virgin Islands Endemic fauna or Amphibians,<mark>Endemic fauna of the United States Virgin Islands</mark> or <mark>Amphibians of the United States Virgin Islands</mark>,"[""Endemic fauna of the Virgin Islands"", ""Fauna of the Virgin Islands"", ""Amphibians"", ""Caribbean amphibians""]"
Trees of Azerbaijan or Iran's endemic flora,<mark>Trees of Azerbaijan</mark> or <mark>Endemic flora of Iran</mark>,"[""Trees of Azerbaijan"", ""Endemic flora of Iran"", ""Trees of the South Caucasus"", ""Endemic plants of the Zagros Mountains""]"
Random House 2nd-millennium Historical romance novels,<mark>Random House books</mark> that are also both <mark>2nd-millennium books</mark> and <mark>Historical romance novels</mark>,"[""Random House novels"", ""Historical romance novels"", ""2nd-millennium novels""]"
Books about Islamic fundamentalism but not Crime,<mark>Books about Islamic fundamentalism</mark> that are not <mark>Crime books</mark>,"[""Books about Islamic fundamentalism"", ""Nonfiction books on political Islam"", ""Books about Islamist movements"", ""Books about jihadist ideology"", ""Crime books""]"
"1990's non fiction history books about historical eras, that are not about the military",<mark>1990s non-fiction books</mark> that are also <mark>History books about historical eras</mark> but not <mark>Military books</mark>,"[""Nonfiction history books"", ""Books about historical periods"", ""1990s books"", ""Military history books""]"
Films made in Mauritanian,<mark>Films shot in Mauritania</mark> or <mark>Mauritanian films</mark>,"[""Films produced in Mauritania"", ""Films shot in Mauritania"", ""Films set in Mauritania"", ""West African cinema""]"
American children's animated fantasy coming-of-age comedy films about animals from the 2010s,<mark>2010s coming-of-age comedy films</mark> that are also both <mark>American children's animated fantasy films</mark> and <mark>Films about animals</mark>,"[""American children's animated films"", ""Fantasy comedy films"", ""Coming-of-age films"", ""Films about animals"", ""2010s films""]"
"anime films from 1978 or 1980, or Space Battleship Yamato films",<mark>1978 anime films</mark> or <mark>Space Battleship Yamato films</mark> or <mark>1980 anime films</mark>,"[""Anime films"", ""1978 films"", ""1980 films"", ""Space Battleship Yamato films""]"
Horror films about urban legends,<mark>Horror films based on urban legends</mark>,"[""Horror films"", ""Films about urban legends"", ""American urban legend films"", ""Japanese urban legend films""]"
Plants of Heard Island and McDonald Island or plants from the Crozet Islands,<mark>Flora of the Crozet Islands</mark> or <mark>Flora of Heard Island and McDonald Islands</mark>,"[""Flora of Heard Island and McDonald Islands"", ""Flora of the Crozet Islands"", ""Subantarctic island flora"", ""Southern Indian Ocean island flora""]"
Books about French prostitution or from 1785,<mark>1785 books</mark> or <mark>Books about French prostitution</mark>,"[""Books about prostitution in France"", ""Books published in the late eighteenth century"", ""French social history books"", ""Books on the history of sex work""]"
": Endemic flora of the United States, Washington (state), but not from British Columbia",<mark>Endemic flora of the United States</mark> that are also <mark>Flora of Washington (state)</mark> but not <mark>Flora of British Columbia</mark>,"[""Endemic flora of the United States"", ""Flora of Washington (state)"", ""Flora of British Columbia""]"
films from 1934 that are horror,<mark>1934 horror films</mark>,"[""Horror films"", ""1934 films""]"
Flora of both Oaxaca and southern South America,<mark>Flora of southern South America</mark> that are also <mark>Flora of Oaxaca</mark>,"[""Flora of Oaxaca"", ""Flora of southern South America"", ""Flora of southern Mexico"", ""Flora of Patagonia""]"
Flora of Veracruz that is also in Panama and Belize,<mark>Flora of Veracruz</mark> that are also both <mark>Flora of Panama</mark> and <mark>Flora of Belize</mark>,"[""Flora of Veracruz"", ""Flora of Panama"", ""Flora of Belize"", ""Mesoamerican flora"", ""Tropical rainforest plants""]"
what areEndemic flora of Algeria or Trees of Algeria,<mark>Endemic flora of Algeria</mark> or <mark>Trees of Algeria</mark>,"[""Endemic flora of Algeria"", ""Trees of Algeria""]"
what are some 1856 novels,<mark>1856 novels</mark>,"[""Novels"", ""Books published in 1856""]"
Films shot in Siberia or a Czech historical comedy,<mark>Czech historical comedy films</mark> or <mark>Films shot in Siberia</mark>,"[""Films shot in Siberia"", ""Czech films"", ""Historical comedy films""]"
Films based on novellas not Films about disability,<mark>Films based on novellas</mark> that are not <mark>Films about disability</mark>,"[""Films based on novellas"", ""Films about disability""]"
Textbooks about Astronomy,<mark>Astronomy textbooks</mark>,"[""Astronomy textbooks"", ""Introductory astronomy textbooks"", ""Astrophysics textbooks"", ""Cosmology textbooks"", ""Observational astronomy textbooks"", ""Planetary science textbooks""]"
Fauna of Western and east but not of central Asia,<mark>Fauna of East Asia</mark> that are also <mark>Fauna of Western Asia</mark> but not <mark>Fauna of Central Asia</mark>,"[""Fauna of Western Asia"", ""Fauna of East Asia"", ""Fauna of Central Asia""]"
Mammals of South America and Western American coastal fauna,<mark>Western American coastal fauna</mark> that are also <mark>Mammals of South America</mark>,"[""Mammals of South America"", ""Coastal fauna of the Pacific coast of the Americas"", ""Marine mammals of the Eastern Pacific"", ""Coastal mammals of the Pacific coast of South America""]"
Australian novels from 1930 or Henry Handel Richardson novels,<mark>1930 Australian novels</mark> or <mark>Novels by Henry Handel Richardson</mark>,"[""Australian novels"", ""Novels published in 1930"", ""Novels by Henry Handel Richardson""]"
Non romantic comedy films about remarriage,<mark>Films about remarriage</mark> that are not <mark>Romantic comedy films</mark>,"[""Comedy films"", ""Films about remarriage"", ""Romantic comedy films""]"
1930s historical films set in the Southwestern United States,<mark>Films set in the Southwestern United States</mark> that are also <mark>1930s historical films</mark>,"[""Historical films"", ""Films set in the Southwestern United States"", ""Great Depression-era films""]"
1990s independent films shot in Europe about families,<mark>1990s independent films</mark> that are also both <mark>Films shot in Europe</mark> and <mark>Films about families</mark>,"[""Independent films"", ""Films about families"", ""Films shot in Europe""]"
Australian arthropods from the prehistoric period,<mark>Prehistoric arthropods of Australia</mark>,"[""Fossil arthropods of Australia"", ""Prehistoric insects of Australia"", ""Prehistoric arachnids of Australia"", ""Trilobites of Australia"", ""Paleozoic arthropods of Australia"", ""Mesozoic arthropods of Australia""]"
1980's American children's novels,<mark>1980s novels</mark> that are also both <mark>American children's novels</mark> and <mark>1984 novels</mark>,"[""Children's novels"", ""American novels"", ""1980s novels""]"
Novels that take place in Vietnam that aren't about war,<mark>Novels set in Vietnam</mark> that are not <mark>War novels</mark>,"[""Novels"", ""Novels set in Vietnam"", ""War novels"", ""Vietnam War novels""]"
"what are some Reptiles of Malaysia that are also of cambodia, but not of India",<mark>Reptiles of Malaysia</mark> that are also <mark>Reptiles of Cambodia</mark> but not <mark>Reptiles of India</mark>,"[""Reptiles of Malaysia"", ""Reptiles of Cambodia"", ""Reptiles of India""]"
Hindi-language action crime films not set India,<mark>Hindi-language action films</mark> that are also <mark>Crime films</mark> but not <mark>Films set in India</mark>,"[""Hindi-language films"", ""Action crime films"", ""Films set in India""]"
"what are some British science fiction comedy-drama, Canadian science fiction drama, or 2000s science fiction comedy-drama films?",<mark>British science fiction comedy-drama films</mark> or <mark>Canadian science fiction drama films</mark> or <mark>2000s science fiction comedy-drama films</mark>,"[""British science fiction comedy-drama films"", ""Canadian science fiction drama films"", ""2000s science fiction comedy-drama films""]"
Orchids of Argentina or French Guiana,<mark>Orchids of Argentina</mark> or <mark>Orchids of French Guiana</mark>,"[""Orchids of Argentina"", ""Orchids of French Guiana""]"
Hispaniola animals that are extinct in North America but not Caribbean arthropods,<mark>Fauna of Hispaniola</mark> that are also <mark>Extinct animals of North America</mark> but not <mark>Arthropods of the Caribbean</mark>,"[""Animals of Hispaniola"", ""Extinct animals of North America"", ""Arthropods of the Caribbean""]"
what are Trees of the Cayman Islands or of the Bahamas,<mark>Trees of the Cayman Islands</mark> or <mark>Trees of the Bahamas</mark>,"[""Trees of the Cayman Islands"", ""Trees of the Bahamas"", ""Trees of the Caribbean""]"
what are some Horseshoe Canyon fauna,<mark>Horseshoe Canyon fauna</mark>,"[""Theropods of the Horseshoe Canyon Formation"", ""Hadrosaurids of the Horseshoe Canyon Formation"", ""Ceratopsians of the Horseshoe Canyon Formation"", ""Ankylosaurs of the Horseshoe Canyon Formation"", ""Crocodyliforms of the Horseshoe Canyon Formation"", ""Mammals of the Horseshoe Canyon Formation""]"
non-fiction 1839 books,<mark>1839 non-fiction books</mark>,"[""Non-fiction books"", ""Victorian-era non-fiction books""]"
Birds described in 1872  but not Prehistoric reptiles of Asia,<mark>Birds described in 1872</mark> that are not <mark>Prehistoric reptiles of Asia</mark>,"[""Birds described in 1872"", ""Prehistoric reptiles of Asia""]"
"Novels about Noah's Ark, Novels about floods, or 1945 speculative fiction novels",<mark>1945 speculative fiction novels</mark> or <mark>Novels about floods</mark> or <mark>Novels about Noah's Ark</mark>,"[""Novels about Noah's Ark"", ""Novels about floods"", ""Speculative fiction novels"", ""1945 novels""]"
Fauna of the Chihuahuan Desert and Birds of the Sierra Madre del Sur,<mark>Birds of the Sierra Madre del Sur</mark> that are also <mark>Fauna of the Chihuahuan Desert</mark>,"[""Fauna of the Chihuahuan Desert"", ""Birds of the Sierra Madre del Sur""]"
1989 american childrens animated films about socials issues.,<mark>Films about social issues</mark> that are also both <mark>American children's animated fantasy films</mark> and <mark>1989 films</mark>,"[""American animated films"", ""Children's films"", ""Films about social issues"", ""1980s films""]"
Mammals of Europe that are also Prehistoric animals of Africa excluding Neogene animals of Africa,<mark>Mammals of Europe</mark> that are also <mark>Prehistoric animals of Africa</mark> but not <mark>Neogene animals of Africa</mark>,"[""Mammals of Europe"", ""Prehistoric animals of Africa"", ""Neogene animals of Africa""]"
what are Endemic fauna of New Zealand that are also Cenozoic animals of Oceania,<mark>Endemic fauna of New Zealand</mark> that are also <mark>Cenozoic animals of Oceania</mark>,"[""Endemic animals of New Zealand"", ""Cenozoic animals of Oceania"", ""Cenozoic animals of New Zealand""]"
Birds of Sub-Saharan Africa and Madagascar also Wading birds,<mark>Birds of Madagascar</mark> that are also both <mark>Wading birds</mark> and <mark>Birds of Sub-Saharan Africa</mark>,"[""Birds of Sub-Saharan Africa"", ""Birds of Madagascar"", ""Wading birds""]"
Trees of New Guinea but not Malesia that are also Pantropical flora,<mark>Pantropical flora</mark> that are also <mark>Trees of New Guinea</mark> but not <mark>Trees of Malesia</mark>,"[""Trees of New Guinea"", ""Pantropical flora"", ""Trees of Malesia""]"
1930's war or action comedy films,<mark>1930s war comedy films</mark> or <mark>1930s action comedy films</mark>,"[""Interwar-era films"", ""War comedy films"", ""Action comedy films""]"
Flora of Puerto Rico that are also both Flora of Central America and Ecuador,<mark>Flora of Puerto Rico</mark> that are also both <mark>Flora of Central America</mark> and <mark>Flora of Ecuador</mark>,"[""Flora of Puerto Rico"", ""Flora of Central America"", ""Flora of Ecuador""]"
Sea Lions of North America,<mark>Otariinae</mark> or <mark>Pinnipeds of North America</mark>,"[""Sea lions"", ""Pinnipeds of North America"", ""Pacific Coast of North America"", ""Northeast Pacific Ocean"", ""Gulf of California""]"
What are felids of north or south america?,<mark>Felids of South America</mark> or <mark>Felids of North America</mark>,"[""Felids of North America"", ""Felids of South America""]"
Oligocene turtles or Miocene reptiles of Europe,<mark>Miocene reptiles of Europe</mark> or <mark>Oligocene turtles</mark>,"[""Oligocene turtles"", ""Miocene reptiles"", ""Reptiles of Europe""]"
"Psephotellus,Platycercini, or Broad-tailed parrots",<mark>Psephotellus</mark> or <mark>Platycercini</mark> or <mark>Broad-tailed parrots</mark>,"[""Psephotellus genus"", ""Platycercini tribe"", ""Broad-tailed parrots""]"
Telugu films that are Bhojpuri remakes,<mark>Bhojpuri remakes of Telugu films</mark>,"[""Telugu-language films"", ""Remakes of Bhojpuri-language films"", ""Telugu-language film remakes"", ""Indian cross-language film remakes""]"
Plants from Mississippi or Pennsylvania,<mark>Mississippian plants</mark> or <mark>Pennsylvanian plants</mark>,"[""Flora of Mississippi"", ""Flora of Pennsylvania""]"
Endemic fauna from Saint Lucia,<mark>Endemic fauna of Saint Lucia</mark>,"[""Endemic fauna of Saint Lucia"", ""Endemic vertebrates of Saint Lucia"", ""Endemic invertebrates of Saint Lucia"", ""Endemic birds of Saint Lucia"", ""Endemic reptiles of Saint Lucia""]"
Novels by Robert B. Parker not set in New England,<mark>Novels by Robert B. Parker</mark> that are not <mark>Novels set in New England</mark>,"[""Novels by Robert B. Parker"", ""Novels set in New England"", ""Western novels"", ""Novels set in the Western United States"", ""Philip Marlowe novels""]"
Jonathan Kellerman novels,<mark>Novels by Jonathan Kellerman</mark>,"[""Novels by Jonathan Kellerman"", ""Alex Delaware novels by Jonathan Kellerman"", ""Petra Connor novels by Jonathan Kellerman"", ""Standalone novels by Jonathan Kellerman"", ""Co-authored novels by Jonathan Kellerman""]"
Native plants from California that birds eat,<mark>Bird food plants</mark> that are also <mark>Endemic flora of California</mark>,"[""California native plants"", ""Bird food plants"", ""Plants with bird-dispersed fruits"", ""Nectar plants for hummingbirds"", ""Native grasses of California""]"
Hong Kong action films set in 1948,<mark>Films set in 1948</mark> that are also <mark>Hong Kong action films</mark>,"[""Hong Kong films"", ""Action films"", ""Films set in the 1940s"", ""Post-World War II film settings""]"
Endemic fauna or mammals of Guadeloupe,<mark>Mammals of Guadeloupe</mark> or <mark>Endemic fauna of Guadeloupe</mark> or <mark>Fauna of Guadeloupe</mark>,"[""Endemic fauna of Guadeloupe"", ""Mammals of Guadeloupe"", ""Endemic fauna of the Lesser Antilles"", ""Mammals of the Lesser Antilles""]"
"Books about Brunei, Malaysia or historical books about the Qing dynasty",<mark>Books about Brunei</mark> or <mark>Books about Malaysia</mark> or <mark>History books about the Qing dynasty</mark>,"[""Books about Brunei"", ""Books about Malaysia"", ""History books about the Qing dynasty"", ""Biographies of Qing dynasty figures""]"
